"","long","lat","order","hole","piece","group","id"
"224",-95.68234509,29.94325622,10204,FALSE,"1","1055.1",1055
"225",-95.68405109,29.94320322,10205,FALSE,"1","1055.1",1055
"226",-95.68406909,29.94320222,10206,FALSE,"1","1055.1",1055
"227",-95.68696709,29.94318522,10207,FALSE,"1","1055.1",1055
"228",-95.68748509,29.94317722,10208,FALSE,"1","1055.1",1055
"229",-95.68794509,29.94314222,10209,FALSE,"1","1055.1",1055
"230",-95.68848809,29.94305022,10210,FALSE,"1","1055.1",1055
"231",-95.68880909,29.94291422,10211,FALSE,"1","1055.1",1055
"232",-95.68987009,29.94254722,10212,FALSE,"1","1055.1",1055
"233",-95.69035209,29.94224722,10213,FALSE,"1","1055.1",1055
"234",-95.69085609,29.94192522,10214,FALSE,"1","1055.1",1055
"235",-95.69142109,29.94159322,10215,FALSE,"1","1055.1",1055
"236",-95.69179409,29.94140222,10216,FALSE,"1","1055.1",1055
"237",-95.69213609,29.94125422,10217,FALSE,"1","1055.1",1055
"238",-95.69259309,29.94110822,10218,FALSE,"1","1055.1",1055
"239",-95.69357109,29.94093022,10219,FALSE,"1","1055.1",1055
"240",-95.69474009,29.94086422,10220,FALSE,"1","1055.1",1055
"241",-95.6978301,29.94080722,10221,FALSE,"1","1055.1",1055
"242",-95.7012821,29.94075022,10222,FALSE,"1","1055.1",1055
"243",-95.7041911,29.94069422,10223,FALSE,"1","1055.1",1055
"244",-95.7081301,29.94063822,10224,FALSE,"1","1055.1",1055
"245",-95.7089841,29.94062922,10225,FALSE,"1","1055.1",1055
"246",-95.7121791,29.94059222,10226,FALSE,"1","1055.1",1055
"247",-95.7130811,29.94056822,10227,FALSE,"1","1055.1",1055
"248",-95.7140351,29.94054922,10228,FALSE,"1","1055.1",1055
"249",-95.7148571,29.94062122,10229,FALSE,"1","1055.1",1055
"250",-95.7153951,29.94070022,10230,FALSE,"1","1055.1",1055
"251",-95.7155101,29.94073922,10231,FALSE,"1","1055.1",1055
"252",-95.7156751,29.94079422,10232,FALSE,"1","1055.1",1055
"253",-95.7163051,29.94104122,10233,FALSE,"1","1055.1",1055
"254",-95.7169101,29.94144922,10234,FALSE,"1","1055.1",1055
"255",-95.7175161,29.94195522,10235,FALSE,"1","1055.1",1055
"256",-95.7176621,29.94212622,10236,FALSE,"1","1055.1",1055
"257",-95.7178481,29.94234922,10237,FALSE,"1","1055.1",1055
"258",-95.7178711,29.94237622,10238,FALSE,"1","1055.1",1055
"259",-95.7178891,29.94239822,10239,FALSE,"1","1055.1",1055
"260",-95.7179421,29.94246222,10240,FALSE,"1","1055.1",1055
"261",-95.7176711,29.94262922,10241,FALSE,"1","1055.1",1055
"262",-95.7171071,29.94303322,10242,FALSE,"1","1055.1",1055
"263",-95.7167201,29.94325322,10243,FALSE,"1","1055.1",1055
"264",-95.7162381,29.94346422,10244,FALSE,"1","1055.1",1055
"265",-95.7157451,29.94366522,10245,FALSE,"1","1055.1",1055
"266",-95.7153001,29.94380022,10246,FALSE,"1","1055.1",1055
"267",-95.7149161,29.94386022,10247,FALSE,"1","1055.1",1055
"268",-95.7145311,29.94392022,10248,FALSE,"1","1055.1",1055
"269",-95.7144121,29.94393522,10249,FALSE,"1","1055.1",1055
"270",-95.7142751,29.94395422,10250,FALSE,"1","1055.1",1055
"271",-95.7140091,29.94396822,10251,FALSE,"1","1055.1",1055
"272",-95.7123401,29.94396722,10252,FALSE,"1","1055.1",1055
"273",-95.7123201,29.94396722,10253,FALSE,"1","1055.1",1055
